python-pyudev 0.22-5
python-pyxdg 0.27-1
python-rdflib 5.0.0-3
python-requests 2.26.0-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-setuptools 1:57.4.0-2
python-six 1.16.0-1
python-snowballstemmer 2.1.0-1
python-sphinx 4.2.0-1
python-sphinx-alabaster-theme 0.7.12-6
python-sphinxcontrib-applehelp 1.0.2-6
python-sphinxcontrib-devhelp 1.0.2-6
python-sphinxcontrib-htmlhelp 2.0.0-1
python-sphinxcontrib-jsmath 1.0.1-9
python-sphinxcontrib-qthelp 1.0.3-6
python-sphinxcontrib-serializinghtml 1.1.5-1
python-toml 0.10.2-3
python-tomli 1.2.1-1
python-urllib3 1.26.6-1
python-webencodings 0.5.1-6
python-websocket-client 0.59.0-1
python-wheel 0.37.0-1
python-xlib 0.31-1
python-yaml 5.4.1.1-2
python2 2.7.18-4
python2-cairo 1.18.2-4
python2-gobject2 2.28.7-6
python2-numpy 1.16.6-1
qalculate-gtk 3.20.1-1
qpdf 10.3.2-1
qqc2-desktop-style 5.86.0-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r228-1
qt5-charts 5.15.2-1
qt5-declarative 5.15.2+kde+r31-1
qt5-graphicaleffects 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2+kde+r8-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-tools 5.15.2+kde+r17-3
